Academic9,StudyTime9,Academic10,StudyTime10,Academic11,StudyTime11,Academic12,StudyTime12
89.5,3,88,0.5,79,0,82.66666667,3
79,1,88,1,80.66666667,2,88.33333333,0.2
90,3,95,4,79.33333333,2,87.33333333,0.5
89,0.5,90,3,80.83333333,6,88,2
83,1,92,4.5,86.5,2,77.5,0
82,0.5,86.95,2,86.25,3,76,3
93.5,2,97,1.5,85.66666667,2.5,94,2
82.5,0,61.66666667,0,89.33333333,3,75,3
88.5,3,89,1.5,76,0.5,62,3
,,92,2,88.5,2,95,2.5
,,84,0,95.33333333,3,79,0
,,93.5,2,85.5,2.5,78,0
,,,,95.4,3,96.5,3
,,,,,,87.5,3
